username,score,score_percentage
beksaIala,4770.0,0.0008734512034674365
SmolenMaciej,4740.0,0.0008679577996720438
KarolinaL18,4730.0,0.0008661266650735796
Rafal_Wojcik_,4659.0,0.0008531256094244836
lecterro,4564.0,0.0008357298307390734
Firarafaa,4552.0,0.0008335324692209164
RobertBiedron,4518.0,0.0008273066115861379
m_gdula,4512.0,0.0008262079308270594
Opolska,4507.0,0.0008252923635278273
mateusz2261,4502.0,0.0008243767962285951
OloCzarny,4490.0,0.0008221794347104381
SamselMarcin,4470.0,0.0008185171655135096
e_bartkowska,4446.0,0.0008141224424771955
Kasperson36,4444.0,0.0008137562155575026
maciek_lukas,4412.0,0.0008078965848424171
edyta77,4401.0,0.0008058823367841065
KochanyPrezio,4396.0,0.0008049667694848744
prezydentpl,4392.0,0.0008042343156454887
MaciejWolnosc,4382.0,0.0008024031810470244
Piotr899444771,4378.0,0.0008016707272076387
RobertWinnicki,4363.0,0.0007989240253099424
R_A_Ziemkiewicz,4360.0,0.0007983746849304031
bbudka,4343.0,0.000795261756113014
ArturooArtur,4336.0,0.000793979961894089
WideoWyborcza,4273.0,0.0007824438139237644
TomaszCK1,4249.0,0.0007780490908874502
30Rebellious,4248.0,0.0007778659774276038
Gmlekiem,4246.0,0.000777499750507911
Agiewillow,4226.0,0.0007738374813109825
Hamburg53093540,4195.0,0.0007681609640557434
AdamAdam4949,4193.0,0.0007677947371360506
KaTaRkReaktywa1,4183.0,0.0007659636025375864
BWicinski,4162.0,0.0007621182198808115
aneta_l,4136.0,0.0007573572699248045
dvx_ardorensis,4130.0,0.000756258589165726
gfkot,4119.0,0.0007542443411074153
MariuszMorda,4070.0,0.0007452717815749406
hanna_lisowa,4069.0,0.0007450886681150942
Marek39556099,4063.0,0.0007439899873560155
mmzawisza,4049.0,0.0007414263989181656
D_Lewandowski_,4033.0,0.0007384965835606229
KrzysztofAtor,4010.0,0.0007342849739841552
hockeygoaliepl,3959.0,0.0007249461875319876
K_Izdebski,3927.0,0.0007190865568169021
Vojtekus,3926.0,0.0007189034433570557
swinoujscie,3923.0,0.0007183541029775164
goorsky_pl,3921.0,0.0007179878760578235
RadioZET_NEWS,3897.0,0.0007135931530215094
AndrzejLasu,3895.0,0.0007132269261018166
lukasz_kulpa,3890.0,0.0007123113588025845
MaciejFoxy,3889.0,0.000712128245342738
Punkx93x,3847.0,0.0007044374800291883
Br_Nowak,3806.0,0.000696929828175485
JackLysy,3805.0,0.0006967467147156385
EwaZajaczkowska,3789.0,0.0006938168993580958
StKarczewski,3781.0,0.0006923519916793244
TomekRogal1976,3759.0,0.0006883234955627031
TeatrZmian,3758.0,0.0006881403821028567
6_wilku,3740.0,0.0006848443398256211
PanasiukPiotr,3709.0,0.000679167822570382
1972tomek,3672.0,0.0006723926245560643
LBalcerowicz,3671.0,0.0006722095110962179
marek_zawal23,3668.0,0.0006716601707166786
Mr_Karell,3659.0,0.0006700121495780608
sanctus_securit,3623.0,0.0006634200650235896
Andrzej55612572,3617.0,0.0006623213842645111
H_Boczek,3616.0,0.0006621382708046647
Krystyn96337326,3605.0,0.000660124022746354
BartlomiejDab,3593.0,0.000657926661228197
mikolaj_kam,3592.0,0.0006577435477683504
multibookpl,3587.0,0.0006568279804691183
kr_szumilas,3563.0,0.0006524332574328042
JacekPiekara,3552.0,0.0006504190093744935
tw_wolfgang,3548.0,0.0006496865555351078
JacekJaworskiGd,3543.0,0.0006487709882358757
AndrzejRysuje,3468.0,0.000635037478747394
RobertBe15,3462.0,0.0006339387979883155
PolaMatysiak,3462.0,0.0006339387979883155
GnasKg,3460.0,0.0006335725710686227
Bart_Wielinski,3459.0,0.0006333894576087762
Johanka50okpl,3427.0,0.0006275298268936907
PremierRP,3407.0,0.0006238675576967623
lpietrzak20,3404.0,0.000623318217317223
boski_mariano,3371.0,0.0006172754731422911
grabarczyktomek,3365.0,0.0006161767923832125
FeusetteK,3361.0,0.0006154443385438268
PetraAva,3352.0,0.000613796317405209
DemagogPL,3330.0,0.0006097678212885877
KrzysztofBrejza,3319.0,0.0006077535732302771
pawlak_MD,3301.0,0.0006044575309530415
pisorgpl,3279.0,0.0006004290348364202
AgataStremecka,3272.0,0.0005991472406174952
RafalDudkiewic1,3258.0,0.0005965836521796453
goodspeed11112,3249.0,0.0005949356310410275
BBochenczak,3248.0,0.0005947525175811811
AlicjaDef,3204.0,0.0005866955253479385
AdamLutostanski,3188.0,0.0005837657099903957
SlawZawislak,3173.0,0.0005810190080926994
RadioMaryja,3171.0,0.0005806527811730065
witoldstoch,3169.0,0.0005802865542533137
PatrykSykut,3148.0,0.0005764411715965388
MagdalenaJanas9,3136.0,0.0005742438100783818
CamaroJaro,3126.0,0.0005724126754799175
GCessak,3112.0,0.0005698490870420675
stepien_antoni,3093.0,0.0005663699313049855
Magorza53131351,3062.0,0.0005606934140497464
Glazik1906,3057.0,0.0005597778467505143
mpp1986,3030.0,0.0005548337833346609
wsamraz,3025.0,0.0005539182160354288
Marcin1916_,3009.0,0.000550988400677886
__Mr_Smith__,3005.0,0.0005502559468385003
AgnieszkaSzust3,3003.0,0.0005498897199188075
piotr_piotr73,2990.0,0.000547509244940804
ilintar,2976.0,0.0005449456565029541
MariuszJagora,2947.0,0.0005396353661674078
JMiziolek,2943.0,0.0005389029123280221
ImagineBasia,2941.0,0.0005385366854083293
gnox4,2926.0,0.0005357899835106329
Gasiu76,2921.0,0.0005348744162114008
K_Kaminski_,2916.0,0.0005339588489121687
JarekDrozdowicz,2894.0,0.0005299303527955474
Dominik19891,2872.0,0.0005259018566789261
FZillergut,2865.0,0.0005246200624600012
c19_info,2858.0,0.0005233382682410762
kawecki_maciej,2809.0,0.0005143657087086015
wkrawcz1,2806.0,0.0005138163683290622
Wincent19589186,2798.0,0.0005123514606502908
tvp_info,2785.0,0.0005099709856722874
D_Daszkowski,2780.0,0.0005090554183730552
w_sumlinski,2769.0,0.0005070411703147446
JaninaOchojska,2763.0,0.0005059424895556661
TFrankowski21,2751.0,0.000503745128037509
Doktul_Bapka,2696.0,0.0004936738877459557
karolzapala,2693.0,0.0004931245473664165
KolendaJoanna,2691.0,0.0004927583204467236
mietek_smutny,2670.0,0.0004889129377899488
